index,reference,neuro_pred,dc_pred,hybrid_pred,neuro_correct,dc_correct,hybrid_correct,result_category
11,False,Uncertain,False,False,False,True,True,hybrid_improves_neuro
12,False,False,Uncertain,False,True,False,True,hybrid_improves_dc
15,Uncertain,Uncertain,Uncertain,Uncertain,True,True,True,both_correct
30,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
34,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
36,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
41,Uncertain,Uncertain,Uncertain,Uncertain,True,True,True,both_correct
45,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
53,False,Uncertain,False,False,False,True,True,hybrid_improves_neuro
71,False,False,False,False,True,True,True,both_correct
75,Uncertain,Uncertain,False,False,True,False,False,hybrid_worse_than_neuro
93,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
138,False,False,False,False,True,True,True,both_correct
140,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
148,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
150,Uncertain,Uncertain,Uncertain,Uncertain,True,True,True,both_correct
151,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
156,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
162,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
166,True,True,True,True,True,True,True,both_correct
171,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
181,True,True,True,True,True,True,True,both_correct
