index,reference,neuro_pred,dc_pred,hybrid_pred,neuro_correct,dc_correct,hybrid_correct,result_category
9,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
31,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
38,True,True,True,True,True,True,True,both_correct
40,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
48,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
63,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
78,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
84,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
95,Uncertain,Uncertain,True,True,True,False,False,hybrid_worse_than_neuro
97,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
103,False,True,Uncertain,True,False,False,False,all_wrong
104,False,False,Uncertain,False,True,False,True,hybrid_improves_dc
116,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
137,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
163,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
169,Uncertain,Uncertain,Uncertain,Uncertain,True,True,True,both_correct
173,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
180,False,False,False,False,True,True,True,both_correct
