index,reference,neuro_pred,dc_pred,hybrid_pred,neuro_correct,dc_correct,hybrid_correct,result_category
0,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
3,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
4,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
9,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
10,True,True,True,True,True,True,True,both_correct
11,False,Uncertain,False,False,False,True,True,hybrid_improves_neuro
12,False,False,Uncertain,False,True,False,True,hybrid_improves_dc
13,False,False,Uncertain,False,True,False,True,hybrid_improves_dc
15,Uncertain,Uncertain,Uncertain,Uncertain,True,True,True,both_correct
18,False,False,False,False,True,True,True,both_correct
25,False,False,Uncertain,False,True,False,True,hybrid_improves_dc
30,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
31,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
34,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
36,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
38,True,True,True,True,True,True,True,both_correct
40,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
41,Uncertain,Uncertain,Uncertain,Uncertain,True,True,True,both_correct
45,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
48,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
49,Uncertain,False,Uncertain,False,False,True,False,hybrid_worse_than_dc
50,False,False,Uncertain,False,True,False,True,hybrid_improves_dc
53,False,Uncertain,False,False,False,True,True,hybrid_improves_neuro
58,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
60,False,Uncertain,True,True,False,False,False,all_wrong
61,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
62,Uncertain,True,True,True,False,False,False,all_wrong
63,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
64,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
71,False,False,False,False,True,True,True,both_correct
74,True,True,True,True,True,True,True,both_correct
75,Uncertain,Uncertain,False,False,True,False,False,hybrid_worse_than_neuro
78,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
82,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
84,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
86,False,False,False,False,True,True,True,both_correct
90,True,False,False,False,False,False,False,all_wrong
93,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
94,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
95,Uncertain,Uncertain,True,True,True,False,False,hybrid_worse_than_neuro
97,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
101,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
103,False,True,Uncertain,True,False,False,False,all_wrong
104,False,False,Uncertain,False,True,False,True,hybrid_improves_dc
112,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
116,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
118,False,True,Uncertain,True,False,False,False,all_wrong
124,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
127,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
128,True,True,True,True,True,True,True,both_correct
129,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
130,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
137,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
138,False,False,False,False,True,True,True,both_correct
140,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
148,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
150,Uncertain,Uncertain,Uncertain,Uncertain,True,True,True,both_correct
151,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
156,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
162,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
163,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
165,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
166,True,True,True,True,True,True,True,both_correct
167,True,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
169,Uncertain,Uncertain,Uncertain,Uncertain,True,True,True,both_correct
171,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
173,False,Uncertain,Uncertain,Uncertain,False,False,False,all_wrong
174,True,True,Uncertain,True,True,False,True,hybrid_improves_dc
177,True,Uncertain,True,True,False,True,True,hybrid_improves_neuro
179,True,True,True,True,True,True,True,both_correct
180,False,False,False,False,True,True,True,both_correct
181,True,True,True,True,True,True,True,both_correct
